trackName,month,2019,2020
!,8,1.0,
!,9,1.0,
"""P"" Is Still Free",6,2.0,
"""Sanford & Son Theme"" - NBC-TV (The Streetbeater)",9,1.0,
#RapSinCorte VII,3,,1.0
#RapSinCorte XXXVIII,2,,1.0
$$$ - with Matt Ox,11,3.0,
(Ghost) Riders in the Sky,7,1.0,
(Just Step Prelude),8,1.0,
(The Infamous Prelude),4,1.0,
(The Infamous Prelude),8,1.0,
0's,8,1.0,
0's,11,1.0,
01 | Nas | Illmatic (1994),7,1.0,
03 | Dr. Dre | The Chronic (1992),11,1.0,
03:15 AM / CAVIAR,3,,1.0
05 | Lupe Fiasco | Food & Liquor (2006),7,1.0,
1-900-Hustler,7,1.0,
1-Luv (feat. Leviti),2,,1.0
10 Feet,6,1.0,
10 Freaky Girls (with 21 Savage),9,1.0,
10 Freaky Girls (with 21 Savage),12,1.0,
10 Perritos,1,,1.0
10 Perritos,10,1.0,
10.000,4,1.0,
"100 Bands (feat. Quavo, YG & Meek Mill)",8,1.0,
1000 Grams,8,1.0,
100k Pasos,11,1.0,
101 Dalmatas (feat. Marvin Cruz),11,1.0,
10AM/Save The World (feat. Gucci Mane),4,1.0,
10AM/Save The World (feat. Gucci Mane),12,1.0,
113 fout la merde (feat. Thomas Bangalter),6,1.0,
13th Floor / Growing Old,9,1.0,
1400 / 999 Freestyle,4,1.0,
15+1,11,1.0,
180 Km/h,6,10.0,
180 Km/h,11,1.0,
180 Km/h,12,1.0,
1991,5,1.0,
1nce Again (feat. Tammy Lucas) - Radio Version,5,1.0,
1nce Again (feat. Tammy Lucas) - Radio Version,7,1.0,
2 Of Amerikaz Most Wanted,2,,1.0
2 Pistolas pa un Manco,1,,1.0
2 Pistolas pa un Manco,2,,1.0
2 Pistolas pa un Manco,5,1.0,
2 Pistolas pa un Manco,6,1.0,
2 Pistolas pa un Manco,8,1.0,
2 Pistolas pa un Manco,11,5.0,
2 Pistolas pa un Manco,12,2.0,
2 Step,9,1.0,
2 Thousand,3,,1.0
2 Thousand,4,4.0,
2 You 4 You - Previously Unreleased,5,2.0,
2 in da Wave,7,2.0,
2 in da Wave,8,2.0,
2 in da Wave,9,1.0,
20 Mg,8,1.0,
20 Questions,9,1.0,
200 Mph,10,1.0,
2000,4,1.0,
21 Questions,8,1.0,
21st Century Schizoid Man,12,1.0,
223's (feat. 9lokknine),11,1.0,
24's,2,,1.0
24-7,2,,1.0
25/8,3,,3.0
"2SEATER (feat. Aaron Shaw, Samantha Nelson & Austin Feinstein)",5,1.0,
2U 4U,4,1.0,
3 Card Molly (feat. Ras Kass & Saafir),5,1.0,
3 In The Morning,6,1.0,
3 Strikes Ya' Out,7,3.0,
3 Way Freak,6,1.0,
30 Days,1,,2.0
30 Round Clip,4,1.0,
30 Round Clip,6,1.0,
3005,8,1.0,
305 To My City,9,1.0,
33,11,1.0,
35 Grados (feat. Rels B),4,3.0,
35 Grados (feat. Rels B),5,8.0,
35 Grados (feat. Rels B),6,5.0,
35 Grados (feat. Rels B),7,2.0,
35 Grados (feat. Rels B),12,2.0,
3rd Eye Vision,7,2.0,
3rd Eye Vision,8,2.0,
3rd Eye Vision,9,3.0,
3rd Eye Vision,10,2.0,
3rd Eye Vision,12,1.0,
4 Down,8,2.0,
4 Give My Sins,3,,2.0
4 Give My Sins,4,2.0,
4 Give My Sins,8,1.0,
"4,5,6",1,,2.0
40 & a Blunt,6,2.0,
40 & a Blunt,10,1.0,
40 & a Blunt,12,1.0,
400 Demonios,1,,2.0
40Âº,4,1.0,
435,5,1.0,
44 Killers,2,,2.0
4Art,12,1.0,
4pm in Calabasas,9,1.0,
4r Da Squaw,4,3.0,
4r Da Squaw,5,1.0,
4th Chamber,2,,1.0
5 Ela,5,2.0,
5 Senti 2,5,1.0,
5 Stars (feat. Polima Westcoast),3,,1.0
5 Stars (feat. Polima Westcoast),11,1.0,
5% TINT,1,,1.0
50 Ways to Leave Your Lover,7,1.0,
500,11,1.0,
500 Benz,5,3.0,
5200,8,1.0,
6 Feet Deep,7,1.0,
6PAC,11,1.0,
7 rings,1,,1.0
745,7,1.0,
777,2,,2.0
777,5,1.0,
777,9,1.0,
777,11,1.0,
777,12,1.0,
8 Million Stories,2,,1.0
8 Million Stories,4,3.0,
8 Million Stories,5,5.0,
8 Million Stories,6,3.0,
8 Million Stories,7,1.0,
8 Million Stories,9,5.0,
8 Million Stories,10,2.0,
8 Million Stories,12,1.0,
8 Out Of 10,11,1.0,
8.21,11,1.0,
82 92 (feat. Mac Miller),7,1.0,
"87COLLABx01 (feat. Saak, Beatboy, Papatinho)",2,,1.0
9 Ceros,1,,2.0
9 Ceros,10,7.0,
9 Ceros,12,1.0,
90210 (feat. Kacy Hill),1,,1.0
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),5,1.0,
922 & Heartbreak,2,,1.0
922 & Heartbreak,9,1.0,
922 & Heartbreak,12,2.0,
922 & Heartbreak - Remix,2,,1.0
922 & Heartbreak - Remix,9,2.0,
922 & Heartbreak - Remix,12,2.0,
922 928,1,,1.0
93 'Til Infinity,9,1.0,
<3,3,,4.0
A 190,9,2.0,
A 190,10,1.0,
A BOY IS A GUN*,5,4.0,
A Beautiful Eve,6,1.0,
A Bird In The Hand,8,1.0,
A Boy Named Sue - Live Version,7,2.0,
"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",7,1.0,
A Chance for Peace,2,,3.0
A Cowboy Of Some Kind,2,,1.0
A Day In The Life,4,1.0,
A Educar!,7,1.0,
A Escondidas,1,,1.0
A Escondidas,6,11.0,
A Escondidas,9,2.0,
A Escondidas,11,2.0,
A Escondidas,12,3.0,
A Friend,11,2.0,
A Glorious Death,2,,1.0
A Glorious Death,5,1.0,
A Heart Like Hers,8,3.0,
A Heart Like Hers,10,1.0,
A Hoe B-4 Tha Homie,4,1.0,
A Hoe B-4 Tha Homie,7,2.0,
A Little Bumpin',5,1.0,
A Little Of This,1,,1.0
A Little Of This,6,1.0,
A Thing Called Love,7,2.0,
A Time To Remember - Remix,10,1.0,
A Tu Merced,3,,4.0
A lo MÃ­o,7,1.0,
A ta faÃ§on,9,1.0,
A$AP,6,1.0,
A$AP Forever REMIX,6,1.0,
A-Team,4,1.0,
A.C.T.I.V.A.T.E,5,1.0,
A.V.E.R.A.G.E.,9,1.0,
ABC,7,1.0,
ABOUT NAÂ´,2,,1.0
ABOUT NAÂ´,3,,1.0
"ALONE, PART 3",11,1.0,
"ALONE, PART 3",12,1.0,
ALONGWAYTOGO,5,1.0,
ARE WE STILL FRIENDS?,5,1.0,
ATLiens,6,1.0,
ATLiens,9,1.0,
AUTOMATIC,8,1.0,
Abayarde,12,1.0,
Abeja,1,,1.0
Abeja,5,1.0,
Abeja,9,1.0,
About Me (feat. Rim'K & Lil'Dap),9,1.0,
About This Thing,9,1.0,
Accordion,1,,2.0
Accordion,2,,5.0
Accordion,9,1.0,
Accordion,12,1.0,
Achilipu,2,,1.0
Acicalao,7,2.0,
Ack Like U Want It,5,1.0,
Acknowledge,1,,2.0
Acknowledge,2,,1.0
Acknowledge,12,2.0,
Across 110th Street,7,2.0,
Act Like You Know Me (Point Em Out),2,,2.0
Actitud,9,1.0,
Actitud,11,2.0,
Adderall (with John Grvy),6,8.0,
Adderall (with John Grvy),7,1.0,
Adderall (with John Grvy),12,1.0,
Addicted,9,1.0,
Adios Reina Mia,10,1.0,
Adorn,9,1.0,
Adrenaline,6,1.0,
Advertisement,7,1.0,
Affirmative Action,2,,1.0
Afrogermanic,8,1.0,
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",5,1.0,
"After The Storm (feat. Tyler, The Creator & Bootsy Collins) - Pete Rock Remix",11,1.0,
Aftergirl,7,1.0,
Aftergirl,11,1.0,
Aftershock,4,1.0,
Again (feat. Ramos),6,1.0,
Against The World (feat. Spanky),6,1.0,
Agua Bendita (feat. H Roto),4,3.0,
Agua Bendita (feat. H Roto),5,2.0,
Agua Bendita (feat. H Roto),6,3.0,
Agua Bendita (feat. H Roto),12,1.0,
Aguantando,1,,1.0
Aguantando,11,3.0,
Aguantando,12,3.0,
Agujas,4,1.0,
Ah-Leu-Cha,4,1.0,
Ahay,8,1.0,
Ahmad's Blues,4,1.0,
Ahora,2,,1.0
Ahora Todos,8,2.0,
AhÃ­ Fuera (No Hay Reglas),9,2.0,
Ain't Hard 2 Find,2,,2.0
"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",1,,3.0
Ain't No Half-Steppin',4,1.0,
Ain't No Half-Steppin',5,2.0,
Ain't No Half-Steppin',6,1.0,
Ain't No Stoppin' Us Now,2,,1.0
Ain't No Thang,6,2.0,
Ain't Nobody,1,,2.0
Ain't Nobody,12,2.0,
Ain't The Devil Happy,6,1.0,
Ain't Worried About Nothin,8,1.0,
Ain't a Damn Thing Change,4,1.0,
Aintnuttin Buttersong,6,2.0,
Aintnuttin Buttersong,11,1.0,
Airbus (feat. Dezzy Hollow),7,1.0,
Al Natural,12,2.0,
Al Natural (feat. Yandel),6,3.0,
Albatros,4,5.0,
Albatros,5,9.0,
Albatros,6,7.0,
Albatros,7,1.0,
Albatros,8,1.0,
Albatros,11,1.0,
Albatros,12,2.0,
Albo-Kalteak,7,1.0,
Album Intro,2,,1.0
Album Intro,9,1.0,
Album Intro,11,1.0,
Alegria,6,1.0,
Alegria Navarra - En Directo,10,1.0,
Algebra,1,,5.0
Algo Como Tu,7,1.0,
Algo Como TÃº,4,1.0,
Algo HabrÃ¡,4,1.0,
Algo HabrÃ¡,5,1.0,
Algo Que No Sepa,1,,2.0
Algo Que No Sepa,11,4.0,
Algo Que No Sepa,12,1.0,
All About U,2,,2.0
All About the Benjamins,2,,1.0
All Alone,5,1.0,
All Caps,2,,1.0
All Dogs Go To Heaven,2,,3.0
All Eyez On Me,2,,5.0
All Girls Are The Same,6,1.0,
All Girls Are The Same,12,2.0,
All I Do,8,1.0,
All I Know feat. C.L. Smooth,9,3.0,
All In Love Is Fair,1,,1.0
All Me,9,2.0,
All My Life I've Wanted A Chevy,8,2.0,
All Night (feat. Knox Fortune),8,1.0,
All Or Nothin,7,1.0,
All Stars Freestyle,4,1.0,
All Talk,10,2.0,
All The Places,4,1.0,
All The Way Live,1,,1.0
All This Love,4,2.0,
All Time,8,1.0,
All Your Goodies Are Gone,4,1.0,
All of Me,2,,1.0
All the Things You Are,4,1.0,
Allegria,6,1.0,
Alligator,8,1.0,
Allustrious,6,1.0,
Almost Back,9,1.0,
Along the Way,9,1.0,
Alright,6,1.0,
Alright,11,1.0,
Alt More Worlds Than Known,12,2.0,
Alta Fidelidad,2,,1.0
Always,5,2.0,
Always Be An Angel,6,1.0,
Always and Forever,6,1.0,
Amadeus Mozart,7,1.0,
Amantes Pasajeros,2,,6.0
Amantes Pasajeros,3,,3.0
Amazing,4,1.0,
Amazing,5,1.0,
Ambitionz Az A Ridah,2,,1.0
America's Most Blunted,5,1.0,
America's Most Blunted,9,2.0,
American Hustle (Imagine That),5,1.0,
American Pie,12,1.0,
Amigo si quieres currar,10,1.0,
Amigo?,11,1.0,
Amor,2,,1.0
Amor,4,5.0,
Amor,5,1.0,
Amor Pirata,8,2.0,
AmÃ©n,2,,2.0
AmÃ©n,9,1.0,
AmÃ©n,12,2.0,
An Oscar For Treadwell - Incomplete 411-1,5,2.0,
Anacaona,6,2.0,
Anacaona - Live,7,1.0,
Anacaona - Live,8,1.0,
Analizando,10,1.0,
AnaÃ¯s AnaÃ¯s,4,1.0,
And So,7,1.0,
Ando Con 3,2,,1.0
Ando Con 3,4,1.0,
Ando Con 3,8,1.0,
Ando Con 3,11,1.0,
AndrÃ©s,10,2.0,
AndrÃ©s,11,1.0,
Aneis,9,1.0,
Angela (Theme from 'Taxi'),5,1.0,
Angeles,11,1.0,
Angelito,2,,1.0
Angelito,3,,1.0
Angels,11,1.0,
Anima Zaitez,9,1.0,
Animal Caliente,7,1.0,
Animal Instinct (feat. Ty Nitty & Gambino),5,1.0,
Animalement votre,1,,1.0
Animalement votre,2,,2.0
Animalement votre,12,3.0,
Another Day,2,,2.0
Another Day,3,,1.0
Ansiedad y recuerdos (feat. Prok),11,2.0,
Answer,5,1.0,
Answer,7,1.0,
Answers,5,1.0,
AnthenaginÃ¤Ã³Â» (?),9,1.0,
Antipasti,6,1.0,
Antonio Alcantara,8,1.0,
Antonio Alcantara,11,1.0,
Any Old Wind That Blows,7,1.0,
Apestan,1,,1.0
Apestan,10,1.0,
Apollo Kids (feat. Raekwon),1,,1.0
Apostle's Warning,1,,1.0
Apostle's Warning,5,1.0,
Apostle's Warning,6,1.0,
Apple Blossom,7,1.0,
AprendÃ­,10,2.0,
Aprovechate,2,,1.0
Aprovechate,9,1.0,
Aprovechate,12,3.0,
Aqualung - Live; 2004 Remaster,7,1.0,
Aquatacizem,8,2.0,
Aquellas Cosas Que SolÃ­amos Hacer,10,1.0,
Aquemini,6,1.0,
Arenas Movedizas,5,1.0,
Armed And Dangerous,6,1.0,
Armed And Dangerous,12,1.0,
Army,8,1.0,
Around the World - Intro,6,1.0,
ArrÃ¡ncame,6,1.0,
Articuno,9,1.0,
Articuno,10,2.0,
Artificial,8,4.0,
As I Read My S-A,10,1.0,
As The Rhyme Goes On,4,1.0,
Asesinato,4,4.0,
Ask Me Now,5,1.0,
Asperger,6,1.0,
Asperger - Instrumental,6,1.0,
Astro Travellin,1,,1.0
Astronaut,9,1.0,
Asueto,4,1.0,
Asueto,11,1.0,
Asuntos Internos,9,3.0,
Asuntos Internos,10,1.0,
AsÃ­ Casca la Basca - EdiciÃ³n 2019,1,,3.0
AsÃ­ Casca la Basca - EdiciÃ³n 2019,10,8.0,
AsÃ­ Casca la Basca - EdiciÃ³n 2019,11,1.0,
AsÃ­ Es la Vida,10,8.0,
AsÃ­ Es la Vida,11,5.0,
AsÃ­ Es la Vida,12,1.0,
At Home,2,,1.0
At The Speed Of Life,1,,2.0
At The Speed Of Life,2,,1.0
At The Speed Of Life,12,2.0,
Atemporal,7,1.0,
Atemporal,11,2.0,
Athens,2,,1.0
Athens,4,2.0,
Athens,5,2.0,
Athens,6,1.0,
Athens,12,1.0,
Athlete,8,1.0,
Attaque contre attaque - Bonus,11,1.0,
Audi.,4,2.0,
Autos,1,,4.0
Autos,10,4.0,
Autos,11,3.0,
"Avanzar, No Hay Mas",10,1.0,
Avisado,12,1.0,
Awakening,8,1.0,
Award Tour,1,,1.0
Award Tour,2,,1.0
Award Tour,4,3.0,
Award Tour,5,5.0,
Award Tour,6,3.0,
Award Tour,7,1.0,
Award Tour,9,5.0,
Award Tour,10,2.0,
Award Tour,12,1.0,
Aww Yeah (feat. Lil Yachty),8,1.0,
Ay Caramba,8,1.0,
Ayala (Outro),6,1.0,
Azuquita Mami,6,1.0,
AÃºn Queda Un Sitio,7,1.0,
B!tch,3,,1.0
B-Rabbit,7,3.0,
B.I.B.L.E. (Basic Instructions Before Leaving Earth),9,1.0,
B.I.G. (Interlude) - 2014 Remaster,2,,1.0
B.O.B.,6,1.0,
BBO (Bad Bitches Only),8,1.0,
BCN PAR MAD,2,,1.0
BEACH WITH MY BIX,11,1.0,
BLU,2,,1.0
BLU,9,1.0,
BLU,12,2.0,
BOT,9,1.0,
BUFFALO (feat. Shane Powers),5,1.0,
BYF,4,2.0,
Babushka Boi,1,,2.0
Babushka Boi,10,1.0,
Babushka Boi,11,3.0,
Babushka Boi,12,1.0,
Baby C'mon,4,2.0,
Baby Pa,3,,1.0
Baby Pa,4,3.0,
Baby Sitter (feat. Offset),4,1.0,
"Baby, Let Me Follow You Down - Live at Royal Albert Hall, London, UK - May 26, 1966",1,,1.0
Babylon,6,1.0,
Back Against Da Wall,7,1.0,
Back In The Days,12,1.0,
Back To Black,9,1.0,
Back dans les bacs,7,1.0,
Back off Me,4,1.0,
Backstage Pass (feat. Bob James),5,1.0,
Bad Bad Bad (feat. Lil Baby),9,1.0,
Bad Boys Vocal,4,1.0,
Bad Character,2,,1.0
Bad Character,5,2.0,
Bad Company (feat. BlocBoy JB),5,1.0,
Bad Company (feat. BlocBoy JB),6,1.0,
Bad Name - Remix,2,,1.0
Bad and Boujee (feat. Lil Uzi Vert),11,2.0,
Baghdad Express,8,4.0,
Bags' Groove - Take 1,5,2.0,
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",9,1.0,
BahÃ­a,6,1.0,
Baila Baila Baila,1,,1.0
Bailando,4,1.0,
Bailar,2,,1.0
Bailar,9,1.0,
Bailar,12,2.0,
BailarÃ© sobre tu tumba,2,,1.0
Baile de la Lluvia,8,2.0,
Baile de la Lluvia,9,1.0,
Baile de la Lluvia,11,1.0,
Bakara,9,1.0,
Bala Perdida,2,,1.0
Balada Inculta,10,1.0,
Balada Inculta,11,2.0,
Balaperdida,1,,1.0
Balaperdida,2,,1.0
Ballad of a Teenage Queen,7,2.0,
Ballad of a Teenage Queen (2017 Remaster),7,1.0,
Ballers (feat. Gangsta Boo),1,,1.0
Ballin',1,,1.0
Baltimore,1,,3.0
Baltimore,2,,1.0
Baltimore,10,4.0,
Baltimore,11,3.0,
Baltimore,12,2.0,
Bamboleo,6,1.0,
BambolÃ©o,8,1.0,
Bamboo Skit,5,2.0,
BambÃº,12,1.0,
Bandana (feat. Assassin),4,1.0,
Bandana (feat. Assassin),6,2.0,
Bandida,2,,2.0
Bandida,9,2.0,
Bandida,12,4.0,
Bandido,8,1.0,
Bandido,9,2.0,
Bando,8,1.0,
Bands,11,5.0,
Bang Bang,10,1.0,
Bang Bang,11,1.0,
Bank,6,1.0,
Banzai,5,1.0,
Bar Underground,7,1.0,
Bara To Yaju,1,,1.0
Barbecue,8,1.0,
Barrin You Bitches,2,,2.0
Barrio Santos,5,1.0,
Barrio Santos,6,1.0,
